mapname,LT_lat_map,LT_lon_map,RB_lat_map,RB_lon_map,region,area_m2,width,height
satellite01.tif,29.774065,115.970635,29.702283,115.996851,Changjiang-20,20.17946,9774,26762
satellite02.tif,29.817376,116.033769,29.725402,116.064566,Changjiang-23,30.36407,11482,34291
satellite03.tif,32.355491,119.805926,32.29029,119.900052,Taizhou-1,64.08179,35092,24308
satellite04.tif,32.254036,119.90598,32.151018,119.954509,Taizhou-6,52.26971,18093,38408
satellite05.tif,24.666899,102.340055,24.650422,102.365252,Yunnan,4.65519,9394,6144
satellite06.tif,32.373177,109.63516,32.346944,109.656837,Zhuxi,5.9353,8082,9780
satellite07.tif,40.340058,115.791182,40.339604,115.79923,Donghuayuan,0.03447,3000,170
satellite08.tif,30.947227,120.136489,30.903521,120.252951,Huzhou-3,53.93774,43421,16294
satellite10.tif,40.355093,115.776356,40.341475,115.794041,Huailai,2.27201,6593,5077
satellite11.tif,38.852301,101.013109,38.807825,101.092483,Shandan,34.02991,29592,16582
satellite12.tif,29.774065,115.970635,29.702283,115.996851,Changjiang-20,20.17946,9774,26762
satellite13.tif,29.817376,116.033769,29.725402,116.064566,Changjiang-23,30.36407,11482,34291