gallery_pt,query_pt,gallery_csv,query_csv,g_x_col,g_y_col,q_x_col,q_y_col,success_radius_m,w_vis,window_size,formation_offset,top_k,epsilon_m,sigma,w_geo,w_angle,w_skip,r1,r5,r10,c1,c5,c10,improvement
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,100.0,1.0,1.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,57.70065075921909,65.29284164859001,68.11279826464208,21.908893709327543
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,100.0,1.0,1.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,57.70065075921909,65.29284164859001,68.11279826464208,21.908893709327543
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,100.0,1.0,1.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,57.26681127982647,64.42516268980476,67.67895878524945,21.475054229934926
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,100.0,1.0,1.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,57.26681127982647,64.64208242950107,68.11279826464208,21.475054229934926
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,100.0,1.5,1.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,57.26681127982647,65.29284164859001,68.32971800433839,21.475054229934926
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,100.0,1.5,1.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,57.04989154013015,64.64208242950107,68.11279826464208,21.258134490238604
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,150.0,1.0,1.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,57.04989154013015,65.0759219088937,68.11279826464208,21.258134490238604
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,100.0,1.5,1.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,56.83297180043384,65.29284164859001,68.11279826464208,21.041214750542295
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,150.0,1.0,1.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,56.83297180043384,65.0759219088937,68.11279826464208,21.041214750542295
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,100.0,1.5,1.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,56.61605206073753,64.64208242950107,67.89587852494577,20.824295010845987
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,150.0,1.0,1.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,56.61605206073753,64.20824295010846,67.46203904555314,20.824295010845987
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,150.0,1.0,1.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,56.399132321041215,64.42516268980476,67.46203904555314,20.60737527114967
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,100.0,1.0,2.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,56.399132321041215,64.8590021691974,68.11279826464208,20.60737527114967
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,150.0,1.5,1.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,56.399132321041215,64.8590021691974,68.32971800433839,20.60737527114967
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,100.0,1.0,2.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,56.182212581344906,64.64208242950107,68.11279826464208,20.390455531453362
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,150.0,1.5,1.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,56.182212581344906,64.42516268980476,67.89587852494577,20.390455531453362
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,150.0,1.0,2.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,56.182212581344906,65.29284164859001,67.89587852494577,20.390455531453362
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,150.0,1.5,1.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,56.182212581344906,64.42516268980476,68.11279826464208,20.390455531453362
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,100.0,1.5,2.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,55.9652928416486,64.8590021691974,68.11279826464208,20.173535791757054
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,100.0,1.0,3.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,55.9652928416486,65.0759219088937,67.89587852494577,20.173535791757054
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,100.0,1.0,2.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,55.9652928416486,64.64208242950107,67.67895878524945,20.173535791757054
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,100.0,1.5,2.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,55.748373101952275,64.8590021691974,67.67895878524945,19.95661605206073
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,150.0,1.5,1.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,55.748373101952275,63.99132321041214,67.67895878524945,19.95661605206073
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,100.0,1.0,2.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,55.748373101952275,64.20824295010846,67.46203904555314,19.95661605206073
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,150.0,1.0,2.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,55.748373101952275,64.8590021691974,67.24511930585683,19.95661605206073
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,150.0,1.0,2.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,55.748373101952275,65.50976138828634,67.89587852494577,19.95661605206073
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,100.0,1.5,3.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,55.53145336225597,65.0759219088937,67.89587852494577,19.739696312364423
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,100.0,1.0,3.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,55.53145336225597,65.29284164859001,67.89587852494577,19.739696312364423
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,100.0,1.0,3.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,55.53145336225597,64.64208242950107,67.24511930585683,19.739696312364423
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,150.0,1.5,2.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,55.53145336225597,65.0759219088937,67.89587852494577,19.739696312364423
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,100.0,1.5,3.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,55.53145336225597,65.29284164859001,67.89587852494577,19.739696312364423
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,100.0,1.5,3.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,55.31453362255966,64.8590021691974,67.24511930585683,19.522776572668114
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,150.0,1.0,2.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,55.31453362255966,64.8590021691974,67.24511930585683,19.522776572668114
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,100.0,1.5,3.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,55.31453362255966,64.8590021691974,67.46203904555314,19.522776572668114
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,100.0,1.5,2.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,55.31453362255966,64.8590021691974,68.11279826464208,19.522776572668114
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,150.0,1.0,3.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,55.31453362255966,65.50976138828634,67.67895878524945,19.522776572668114
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,150.0,1.5,2.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,55.31453362255966,65.29284164859001,67.89587852494577,19.522776572668114
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,100.0,1.0,1.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,55.210643015521065,64.07982261640798,67.1840354767184,19.290465631929045
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,100.0,1.5,2.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,55.210643015521065,64.7450110864745,67.62749445676275,19.290465631929045
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,150.0,1.0,1.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,55.210643015521065,64.7450110864745,67.1840354767184,19.290465631929045
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,150.0,1.0,3.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,55.09761388286334,64.8590021691974,67.67895878524945,19.3058568329718
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,150.0,1.5,2.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,55.09761388286334,64.64208242950107,67.24511930585683,19.3058568329718
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,100.0,1.0,3.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,55.09761388286334,64.64208242950107,67.24511930585683,19.3058568329718
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,100.0,1.5,2.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,55.09761388286334,64.42516268980476,67.46203904555314,19.3058568329718
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,150.0,1.5,2.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,55.09761388286334,64.64208242950107,67.24511930585683,19.3058568329718
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,100.0,1.0,1.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,54.988913525498894,64.52328159645234,67.1840354767184,19.068736141906875
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,100.0,1.5,1.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,54.988913525498894,64.7450110864745,67.40576496674058,19.068736141906875
